,player_id,position,Player Age,Player Height (cm),Matches Played,Average Minutes per Match,Average Goals per Match,Average Assists per Match,Average Shots per Match,Average Pass Success Rate (%),Average Aerial Duels Won per Match,Average Yellow Cards per Match,Average Red Cards per Match,Average Man of the Match per Match
1218,1802,Midfielder,23,176,113,59.36,0.13,0.09,0.9,85.4,0.5,0.06,0.0,0.04
476,696,Midfielder,28,191,189,52.91,0.07,0.02,1.0,80.8,2.7,0.2,0.01,0.04
2610,3764,Defender,22,180,96,66.24,0.01,0.11,0.3,80.9,0.7,0.1,0.0,0.02
3852,5429,Defender,27,184,137,76.58,0.01,0.02,0.3,78.5,1.1,0.09,0.0,0.01
187,266,Midfielder,23,175,103,61.81,0.12,0.02,1.5,79.9,0.5,0.16,0.0,0.07
55,78,Goalkeeper,32,194,198,88.76,0.01,0.0,0.0,49.5,0.3,0.06,0.0,0.02
2642,3804,Midfielder,36,178,340,63.22,0.12,0.06,1.2,76.5,0.6,0.09,0.0,0.01
3194,4556,Midfielder,31,178,396,75.62,0.09,0.1,1.1,75.0,1.0,0.16,0.01,0.02
852,1240,Forward,29,190,266,59.89,0.19,0.11,1.7,76.0,1.2,0.11,0.0,0.03
1280,1890,Midfielder,20,180,95,55.93,0.21,0.13,2.2,81.9,0.1,0.11,0.0,0.04
2176,3164,Defender,34,191,188,79.37,0.02,0.02,0.3,84.8,1.5,0.12,0.01,0.01
3475,4922,Defender,26,198,60,78.48,0.0,0.07,0.4,88.8,2.2,0.22,0.02,0.0
0,1,Defender,25,192,224,86.99,0.05,0.06,0.5,85.3,2.2,0.19,0.01,0.01
2410,3487,Midfielder,26,177,129,54.17,0.08,0.03,0.7,76.1,0.3,0.21,0.01,0.05
1901,2781,Midfielder,31,183,298,67.43,0.14,0.17,1.6,81.6,0.6,0.2,0.01,0.11
1913,2800,Midfielder,33,177,363,61.64,0.12,0.09,1.4,79.0,0.6,0.09,0.0,0.04
142,206,Defender,21,191,99,81.65,0.01,0.02,0.4,85.5,0.8,0.15,0.01,0.0
3334,4724,Midfielder,25,180,107,56.85,0.08,0.06,0.7,72.1,0.7,0.1,0.0,0.0
1228,1815,Midfielder,27,184,226,65.42,0.09,0.03,1.0,74.2,0.8,0.16,0.01,0.05
2609,3758,Midfielder,27,191,113,68.61,0.08,0.04,1.1,86.5,1.3,0.11,0.02,0.01
1811,2653,Forward,31,187,225,57.7,0.29,0.05,1.5,74.4,0.9,0.08,0.01,0.04
1347,2001,Forward,23,178,104,61.96,0.37,0.11,2.5,74.8,0.3,0.08,0.0,0.04
2260,3268,Forward,27,184,111,58.77,0.28,0.07,1.8,74.5,1.8,0.07,0.02,0.08
2222,3217,Forward,31,191,157,55.24,0.24,0.04,1.5,65.5,3.3,0.09,0.0,0.04
2906,4165,Forward,22,173,96,51.72,0.27,0.1,2.0,70.4,1.2,0.11,0.0,0.06
2698,3880,Forward,35,188,84,35.9,0.13,0.04,1.1,66.0,1.1,0.12,0.0,0.02
783,1130,Goalkeeper,34,195,146,88.44,0.0,0.01,0.0,58.4,0.2,0.08,0.01,0.03
3256,4632,Defender,33,186,96,75.3,0.04,0.01,0.2,86.7,0.9,0.19,0.0,0.0
3417,4841,Midfielder,25,183,73,61.29,0.01,0.08,0.6,84.5,1.5,0.16,0.03,0.04
2657,3820,Defender,29,193,249,82.47,0.04,0.02,0.6,82.2,3.6,0.21,0.02,0.04
232,317,Midfielder,34,181,119,63.73,0.05,0.02,0.8,78.2,0.6,0.19,0.01,0.01
1244,1837,Midfielder,25,184,150,63.04,0.02,0.03,0.3,87.6,0.9,0.17,0.0,0.01
2271,3287,Defender,29,192,73,78.85,0.04,0.01,0.4,82.1,2.0,0.23,0.0,0.03
1450,2134,Goalkeeper,29,195,167,89.6,0.0,0.01,0.0,55.8,0.3,0.06,0.0,0.05
104,155,Midfielder,23,179,59,61.34,0.02,0.07,0.3,82.4,0.4,0.07,0.0,0.02
1500,2204,Defender,24,183,52,52.65,0.02,0.06,0.3,81.9,0.7,0.23,0.02,0.0
3133,4472,Midfielder,37,173,284,62.93,0.12,0.11,1.1,83.0,0.5,0.13,0.0,0.04
431,626,Midfielder,26,180,177,51.33,0.05,0.04,0.9,82.1,0.4,0.17,0.01,0.02
294,423,Goalkeeper,32,194,52,86.44,0.0,0.0,0.0,56.6,0.3,0.08,0.04,0.02
1878,2751,Goalkeeper,32,190,148,88.78,0.0,0.0,0.0,67.9,0.5,0.03,0.0,0.02
712,1043,Midfielder,26,174,249,65.47,0.25,0.17,2.1,76.8,0.6,0.04,0.0,0.04
2951,4227,Goalkeeper,28,195,61,85.33,0.0,0.0,0.0,60.5,0.4,0.16,0.0,0.0
1964,2875,Goalkeeper,25,186,155,89.59,0.0,0.0,0.0,62.9,0.4,0.08,0.0,0.06
3470,4913,Midfielder,23,177,72,45.44,0.15,0.07,1.3,74.7,1.0,0.1,0.0,0.03
3213,4582,Defender,31,196,172,80.21,0.04,0.02,0.6,75.9,3.6,0.14,0.0,0.06
2934,4208,Defender,24,188,72,72.85,0.06,0.01,0.4,86.5,2.0,0.12,0.0,0.04
2196,3186,Midfielder,24,190,142,70.36,0.13,0.15,1.4,79.0,0.8,0.07,0.0,0.05
11,19,Midfielder,30,180,329,64.97,0.07,0.09,1.1,89.5,0.5,0.29,0.01,0.03
855,1243,Midfielder,31,187,106,47.06,0.08,0.02,0.7,76.1,1.4,0.26,0.0,0.02
1267,1866,Midfielder,30,186,108,41.99,0.04,0.02,0.6,83.4,1.3,0.2,0.0,0.03
484,705,Defender,27,186,179,83.97,0.02,0.01,0.6,83.5,2.4,0.26,0.01,0.02
1568,2288,Forward,33,190,294,60.66,0.27,0.12,2.0,71.1,1.7,0.1,0.01,0.04
740,1082,Defender,26,186,63,80.98,0.0,0.02,0.3,87.0,1.7,0.16,0.0,0.02
1607,2334,Midfielder,26,178,138,57.76,0.16,0.17,1.2,81.5,0.2,0.09,0.0,0.05
1630,2373,Midfielder,28,185,101,82.67,0.02,0.04,0.9,81.4,1.1,0.24,0.0,0.0
3185,4542,Midfielder,23,174,63,56.65,0.02,0.02,0.5,84.6,0.6,0.05,0.0,0.02
2113,3072,Defender,33,185,285,80.96,0.08,0.03,0.8,79.5,4.0,0.21,0.01,0.05
875,1280,Midfielder,28,180,227,64.0,0.06,0.12,0.7,78.5,0.3,0.09,0.0,0.03
2299,3321,Midfielder,33,180,248,61.75,0.1,0.13,1.0,85.5,0.4,0.17,0.0,0.04
2028,2952,Defender,28,192,163,82.41,0.02,0.02,0.3,82.7,2.1,0.13,0.02,0.01
1682,2441,Defender,22,175,68,78.09,0.01,0.1,0.8,81.0,0.5,0.18,0.0,0.06
934,1375,Midfielder,29,190,254,72.98,0.07,0.02,0.9,84.4,2.1,0.28,0.0,0.08
1306,1928,Goalkeeper,35,190,257,89.77,0.0,0.0,0.0,60.8,0.2,0.09,0.0,0.04
3520,4980,Forward,26,191,101,41.22,0.19,0.02,1.1,72.3,0.8,0.07,0.02,0.03
1539,2248,Forward,21,186,78,56.29,0.24,0.0,1.6,59.5,3.1,0.14,0.0,0.05
1295,1914,Midfielder,36,194,426,74.34,0.03,0.07,0.5,86.7,1.4,0.18,0.01,0.03
995,1473,Midfielder,27,183,135,56.77,0.01,0.06,0.6,86.5,0.4,0.16,0.0,0.01
2107,3065,Midfielder,34,170,439,72.3,0.07,0.05,0.7,85.0,0.7,0.14,0.01,0.03
1254,1851,Forward,21,175,121,59.55,0.36,0.04,1.9,74.2,0.7,0.14,0.0,0.05
2453,3545,Midfielder,21,176,57,54.89,0.02,0.04,0.5,87.9,0.3,0.16,0.02,0.0
2418,3496,Midfielder,28,180,130,53.42,0.08,0.02,1.0,77.3,0.9,0.19,0.01,0.02
1971,2888,Forward,24,180,109,49.83,0.15,0.02,1.4,71.9,0.9,0.11,0.01,0.02
1787,2616,Midfielder,25,188,84,51.85,0.01,0.04,1.0,76.4,0.6,0.1,0.0,0.01
711,1041,Midfielder,26,182,248,72.63,0.09,0.1,1.0,86.9,0.4,0.21,0.0,0.09
1212,1790,Defender,29,185,353,84.02,0.04,0.01,0.4,89.0,2.2,0.23,0.02,0.02
2769,3973,Midfielder,31,179,178,87.94,0.25,0.26,2.2,75.7,1.9,0.17,0.01,0.13
677,993,Defender,26,177,80,74.88,0.01,0.08,0.4,78.7,1.1,0.25,0.0,0.05
1696,2464,Defender,31,191,324,84.96,0.07,0.04,0.7,79.0,3.8,0.09,0.0,0.04
1365,2031,Midfielder,22,181,71,42.54,0.0,0.01,0.7,87.2,0.4,0.11,0.0,0.0
1301,1922,Defender,24,188,85,83.31,0.01,0.01,0.2,91.8,1.8,0.16,0.02,0.0
1791,2623,Defender,25,191,51,76.29,0.0,0.04,0.3,86.7,2.6,0.24,0.02,0.0
1699,2467,Midfielder,23,186,154,73.79,0.06,0.08,1.1,80.9,0.7,0.15,0.0,0.06
2766,3970,Midfielder,26,175,155,61.39,0.12,0.08,1.1,72.6,0.6,0.09,0.0,0.04
2689,3868,Forward,23,190,62,48.71,0.18,0.06,1.2,70.2,1.5,0.05,0.0,0.02
2764,3967,Midfielder,26,177,81,47.11,0.04,0.02,1.1,77.6,0.2,0.04,0.0,0.04
2702,3884,Midfielder,24,174,65,69.03,0.05,0.15,0.7,86.1,0.7,0.15,0.0,0.06
3167,4519,Midfielder,25,172,57,70.72,0.02,0.0,0.4,87.8,0.4,0.05,0.0,0.02
3208,4576,Midfielder,32,178,141,66.76,0.01,0.05,0.8,71.1,1.6,0.28,0.01,0.01
1571,2291,Midfielder,28,183,250,62.5,0.06,0.03,0.6,87.1,0.7,0.24,0.0,0.01
135,199,Midfielder,29,177,140,74.72,0.09,0.09,0.7,84.2,0.8,0.12,0.01,0.01
2032,2959,Defender,30,173,69,61.59,0.03,0.04,0.3,77.7,0.9,0.23,0.0,0.03
1433,2111,Midfielder,32,182,237,60.63,0.08,0.08,0.9,81.3,0.5,0.18,0.0,0.02
3377,4782,Goalkeeper,35,191,141,88.37,0.0,0.0,0.0,67.7,0.4,0.09,0.0,0.02
1216,1800,Midfielder,27,176,119,64.45,0.1,0.08,1.0,80.2,0.4,0.21,0.01,0.06
3780,5330,Defender,27,183,108,83.38,0.03,0.03,0.4,85.5,1.3,0.14,0.02,0.02
99,148,Defender,21,184,113,82.42,0.04,0.0,0.2,90.5,1.2,0.14,0.01,0.02
271,390,Defender,21,182,53,45.02,0.02,0.0,0.4,73.2,0.6,0.08,0.0,0.0
1962,2872,Forward,32,196,247,63.54,0.26,0.05,1.9,55.2,5.9,0.08,0.0,0.11
1644,2393,Goalkeeper,34,193,120,89.05,0.0,0.0,0.0,74.3,0.2,0.03,0.0,0.07
3144,4489,Midfielder,30,184,111,58.88,0.1,0.1,0.8,80.3,0.3,0.06,0.0,0.02
1447,2128,Defender,26,186,106,68.66,0.0,0.02,0.2,85.5,1.9,0.12,0.0,0.02
2129,3096,Forward,25,181,60,54.57,0.13,0.1,1.1,71.6,2.1,0.07,0.0,0.02
937,1380,Forward,19,183,77,24.36,0.18,0.08,1.1,81.8,0.4,0.05,0.0,0.0
3376,4778,Defender,23,185,70,74.76,0.01,0.0,0.4,86.2,1.6,0.16,0.01,0.04
664,974,Midfielder,26,175,206,67.17,0.04,0.08,0.5,87.9,0.6,0.21,0.0,0.02
734,1076,Midfielder,27,175,128,52.8,0.01,0.0,0.3,85.4,0.4,0.22,0.01,0.0
1776,2596,Goalkeeper,34,188,193,89.81,0.0,0.02,0.0,55.1,0.3,0.04,0.01,0.02
1580,2303,Defender,35,182,162,84.73,0.02,0.02,0.4,81.4,2.5,0.23,0.01,0.04
1452,2136,Midfielder,25,188,97,43.59,0.05,0.04,0.6,81.1,0.4,0.2,0.01,0.02
3607,5108,Midfielder,31,186,122,59.43,0.03,0.01,0.6,85.0,0.6,0.13,0.0,0.01
901,1325,Midfielder,33,183,376,70.43,0.02,0.01,0.6,84.7,1.5,0.24,0.0,0.02
3134,4474,Defender,27,183,141,84.86,0.06,0.02,0.8,77.3,4.6,0.14,0.01,0.05
3753,5298,Midfielder,31,175,165,80.5,0.04,0.05,0.5,86.8,0.4,0.11,0.01,0.02
2467,3563,Midfielder,25,181,128,58.65,0.03,0.06,1.4,76.7,0.7,0.18,0.02,0.05
1188,1754,Midfielder,25,183,64,51.95,0.09,0.11,1.2,78.5,0.5,0.16,0.0,0.02
340,484,Midfielder,25,175,86,33.47,0.03,0.0,0.5,82.4,0.3,0.12,0.0,0.01
1976,2894,Midfielder,24,168,107,63.86,0.22,0.19,2.0,79.4,0.8,0.07,0.0,0.1
66,93,Midfielder,26,181,78,60.65,0.01,0.0,0.8,76.6,1.4,0.29,0.0,0.0
1275,1882,Midfielder,22,173,82,54.78,0.26,0.09,1.5,84.6,0.4,0.1,0.0,0.07
172,245,Goalkeeper,24,184,78,89.42,0.0,0.0,0.0,75.0,0.5,0.04,0.0,0.04
3739,5278,Defender,33,184,51,85.43,0.06,0.02,0.9,79.6,2.2,0.27,0.02,0.02
2114,3073,Forward,25,181,121,45.16,0.2,0.05,1.0,80.7,0.6,0.06,0.0,0.02
1557,2270,Midfielder,28,183,83,48.93,0.02,0.06,0.8,77.8,0.3,0.2,0.0,0.01
2355,3397,Goalkeeper,22,197,122,90.0,0.0,0.02,0.0,66.7,0.4,0.06,0.0,0.07
1893,2770,Defender,30,185,173,85.53,0.1,0.06,0.9,83.9,2.7,0.21,0.01,0.06
1988,2910,Forward,24,176,154,64.11,0.31,0.09,2.2,72.3,1.5,0.21,0.02,0.12
2374,3430,Forward,22,175,93,36.53,0.08,0.08,1.1,71.2,0.4,0.1,0.0,0.01
3783,5333,Forward,25,178,55,26.95,0.07,0.04,0.8,69.2,0.9,0.07,0.0,0.0
931,1371,Defender,24,178,111,79.91,0.03,0.05,0.5,80.2,1.4,0.2,0.02,0.02
652,951,Defender,28,187,148,87.41,0.0,0.01,0.3,82.4,1.5,0.16,0.0,0.01
2066,3007,Midfielder,22,175,68,37.78,0.03,0.01,0.1,83.5,0.3,0.25,0.01,0.01
44,63,Midfielder,26,172,173,50.6,0.19,0.09,1.6,80.1,0.2,0.09,0.0,0.07
2142,3113,Forward,32,191,92,30.66,0.14,0.03,1.0,58.3,1.8,0.09,0.0,0.0
2308,3332,Goalkeeper,31,186,89,89.51,0.0,0.0,0.0,44.3,0.4,0.04,0.0,0.02
3455,4895,Defender,32,187,119,87.55,0.03,0.01,0.4,86.0,0.8,0.23,0.02,0.0
1663,2420,Defender,24,188,79,70.71,0.03,0.01,0.4,85.5,1.6,0.23,0.0,0.03
335,479,Defender,21,206,55,76.89,0.04,0.02,0.5,88.9,1.3,0.22,0.04,0.05
2899,4154,Midfielder,27,174,203,69.5,0.1,0.1,1.2,75.3,0.7,0.21,0.0,0.04
2100,3053,Midfielder,23,177,77,70.83,0.06,0.06,1.2,76.2,0.8,0.12,0.0,0.06
2235,3232,Forward,22,187,70,50.97,0.19,0.13,1.5,68.1,1.1,0.06,0.0,0.03
2469,3567,Goalkeeper,35,191,152,89.27,0.0,0.0,0.0,54.8,0.4,0.05,0.0,0.03
1612,2344,Forward,33,184,202,57.53,0.23,0.05,1.6,64.3,5.5,0.13,0.0,0.1
922,1355,Midfielder,23,176,119,68.08,0.07,0.06,0.9,81.8,0.4,0.16,0.01,0.02
1676,2433,Defender,27,187,111,69.02,0.04,0.01,0.6,82.2,1.3,0.23,0.03,0.03
1897,2777,Goalkeeper,38,190,466,89.9,0.0,0.0,0.0,66.4,0.3,0.1,0.0,0.03
1788,2617,Defender,29,191,227,79.69,0.05,0.02,0.5,76.9,3.9,0.13,0.0,0.07
1082,1594,Forward,34,185,76,46.79,0.29,0.0,1.6,69.1,1.1,0.04,0.0,0.04
1320,1953,Goalkeeper,25,193,319,89.74,0.0,0.0,0.0,57.5,0.3,0.07,0.0,0.04
1196,1765,Goalkeeper,31,192,150,89.48,0.0,0.0,0.0,54.6,0.3,0.09,0.01,0.04
454,659,Midfielder,19,174,82,59.57,0.13,0.07,1.3,81.6,0.4,0.24,0.0,0.1
1296,1915,Midfielder,31,177,414,77.29,0.13,0.11,1.1,84.2,0.6,0.18,0.01,0.03
3843,5419,Midfielder,34,180,523,72.4,0.16,0.11,1.5,88.8,0.5,0.09,0.0,0.05
3440,4876,Midfielder,30,186,232,85.12,0.04,0.06,0.5,86.0,1.6,0.18,0.02,0.01
1989,2911,Midfielder,25,175,80,51.01,0.09,0.14,0.9,83.7,0.3,0.05,0.0,0.05
3813,5374,Midfielder,25,185,75,41.63,0.11,0.12,0.8,64.1,0.4,0.07,0.01,0.0
2550,3670,Midfielder,33,175,258,62.55,0.2,0.11,1.3,76.6,0.7,0.1,0.0,0.08
2999,4302,Defender,31,185,211,82.53,0.02,0.02,0.3,76.7,2.4,0.22,0.01,0.03
1646,2397,Midfielder,24,186,148,55.53,0.05,0.14,0.6,82.7,0.5,0.14,0.0,0.05
2119,3080,Midfielder,26,193,169,52.51,0.04,0.03,0.9,79.4,1.3,0.12,0.01,0.02
1837,2692,Midfielder,34,169,500,80.69,0.07,0.15,1.1,79.5,0.2,0.18,0.0,0.05
239,330,Midfielder,24,190,91,46.04,0.08,0.11,0.9,80.0,1.0,0.1,0.0,0.02
2801,4022,Defender,23,187,93,61.39,0.02,0.01,0.5,75.9,1.4,0.25,0.02,0.0
1042,1540,Forward,23,187,109,39.1,0.14,0.0,1.2,64.5,1.4,0.06,0.0,0.0
2026,2950,Midfielder,26,175,62,67.63,0.11,0.13,1.2,79.9,0.5,0.18,0.0,0.05
2037,2967,Goalkeeper,29,188,64,89.3,0.0,0.0,0.0,50.2,0.2,0.03,0.0,0.05
1576,2297,Midfielder,27,173,264,64.16,0.23,0.19,1.8,77.7,0.3,0.14,0.01,0.07
1667,2424,Midfielder,31,183,195,55.29,0.1,0.1,1.6,80.5,0.5,0.12,0.01,0.05
1818,2663,Midfielder,21,165,88,45.17,0.01,0.07,0.8,82.4,0.8,0.2,0.06,0.02
2357,3400,Midfielder,21,177,70,44.64,0.03,0.07,0.3,76.8,0.3,0.29,0.0,0.0
2401,3465,Defender,31,183,203,87.22,0.04,0.0,0.5,70.5,4.4,0.12,0.0,0.03
2588,3728,Forward,27,180,119,65.03,0.31,0.03,2.1,65.6,1.6,0.1,0.0,0.06
1570,2290,Goalkeeper,32,189,491,89.95,0.0,0.0,0.0,67.9,0.3,0.04,0.0,0.03
3849,5426,Defender,25,196,123,64.19,0.04,0.01,0.5,87.7,2.6,0.14,0.01,0.02
1497,2201,Defender,28,181,72,77.32,0.01,0.03,0.6,78.6,0.8,0.19,0.01,0.06
1299,1919,Forward,24,176,120,69.63,0.32,0.07,2.5,77.3,0.6,0.06,0.01,0.09
1281,1891,Defender,36,188,412,81.56,0.04,0.03,0.4,84.6,2.2,0.15,0.01,0.02
863,1257,Forward,19,179,101,31.38,0.19,0.06,1.0,80.0,0.2,0.03,0.0,0.02
497,724,Midfielder,25,175,78,45.97,0.19,0.12,1.8,71.4,0.8,0.15,0.03,0.04
131,195,Midfielder,26,173,194,79.43,0.39,0.26,2.7,78.1,0.3,0.16,0.01,0.17
3077,4400,Midfielder,22,170,51,49.24,0.02,0.04,0.8,80.8,0.4,0.18,0.0,0.02
845,1229,Midfielder,27,187,210,67.4,0.11,0.05,0.7,84.5,1.1,0.1,0.0,0.0
749,1093,Forward,28,183,95,57.32,0.36,0.09,1.5,69.2,1.5,0.01,0.0,0.04
353,498,Defender,27,186,66,69.15,0.02,0.02,0.3,82.5,1.3,0.27,0.0,0.0
1804,2641,Defender,26,184,153,79.9,0.03,0.03,0.6,81.4,1.8,0.13,0.01,0.0
3536,5002,Defender,31,188,173,75.64,0.03,0.02,0.5,88.8,1.8,0.15,0.01,0.03
3036,4350,Midfielder,26,178,161,51.89,0.06,0.07,0.7,79.2,0.6,0.09,0.01,0.02
2543,3662,Midfielder,31,177,359,74.76,0.14,0.13,1.5,81.0,0.6,0.21,0.01,0.05
1095,1614,Midfielder,21,181,70,42.5,0.11,0.06,0.8,80.7,0.3,0.06,0.0,0.0
103,153,Midfielder,26,175,206,59.04,0.08,0.03,1.0,82.2,1.1,0.16,0.0,0.03
2313,3343,Defender,22,187,53,78.13,0.06,0.0,0.4,65.6,3.1,0.23,0.0,0.02
1551,2262,Defender,22,190,56,74.82,0.04,0.0,0.3,83.8,1.3,0.02,0.02,0.0
2701,3883,Goalkeeper,35,188,408,89.53,0.0,0.0,0.0,60.7,0.3,0.07,0.0,0.04
3577,5056,Midfielder,31,170,223,70.79,0.14,0.13,1.2,75.3,0.8,0.11,0.01,0.04
520,763,Defender,25,184,114,80.84,0.04,0.01,0.3,86.6,1.9,0.14,0.0,0.01
62,85,Midfielder,32,178,199,61.94,0.04,0.04,0.5,77.4,1.0,0.22,0.0,0.01
2754,3950,Defender,27,196,197,86.68,0.05,0.05,0.6,79.9,4.9,0.15,0.0,0.05
1203,1775,Forward,24,192,52,31.98,0.13,0.02,0.8,61.9,1.1,0.08,0.0,0.0
3432,4861,Defender,26,182,96,79.12,0.08,0.2,1.0,81.3,1.1,0.24,0.01,0.08
2583,3723,Midfielder,27,165,184,77.78,0.04,0.05,0.7,83.3,0.8,0.14,0.0,0.02
1708,2483,Defender,30,192,211,85.09,0.07,0.02,0.8,88.2,2.6,0.14,0.0,0.02
2889,4141,Defender,27,191,104,73.35,0.0,0.04,0.4,80.2,2.5,0.11,0.0,0.06
1305,1927,Goalkeeper,25,191,94,89.52,0.0,0.0,0.0,62.7,0.2,0.06,0.0,0.02
378,532,Defender,24,184,123,66.1,0.01,0.1,0.4,80.5,0.2,0.1,0.0,0.01
1624,2365,Forward,30,185,133,25.22,0.11,0.05,0.9,60.3,0.8,0.03,0.01,0.0
871,1270,Midfielder,24,180,127,49.78,0.06,0.13,0.7,74.5,0.5,0.09,0.0,0.03
1227,1814,Midfielder,26,182,130,58.18,0.12,0.1,1.5,82.0,0.8,0.08,0.0,0.04
1334,1976,Defender,25,194,187,77.13,0.04,0.02,0.4,84.8,2.6,0.2,0.01,0.01
3433,4862,Midfielder,29,170,165,67.36,0.13,0.3,1.3,80.8,0.2,0.08,0.01,0.1
2935,4209,Midfielder,30,182,190,50.64,0.05,0.11,0.8,80.3,0.5,0.18,0.01,0.05
1292,1908,Goalkeeper,26,197,59,85.9,0.0,0.0,0.0,60.3,0.4,0.08,0.0,0.08
800,1150,Midfielder,30,178,222,57.25,0.12,0.12,1.1,77.4,0.4,0.08,0.0,0.04
1898,2778,Midfielder,24,173,126,48.96,0.14,0.13,1.2,84.2,0.2,0.08,0.0,0.02
1449,2132,Midfielder,23,181,167,65.57,0.17,0.14,1.5,76.9,0.4,0.14,0.0,0.11
2714,3902,Midfielder,21,180,60,68.82,0.12,0.15,0.9,81.5,0.4,0.17,0.02,0.02
1123,1662,Defender,24,192,148,82.02,0.02,0.01,0.4,88.3,1.6,0.15,0.03,0.05
248,346,Defender,22,185,165,82.19,0.1,0.02,0.7,87.6,1.3,0.09,0.0,0.03
805,1155,Defender,31,180,168,85.27,0.01,0.02,0.2,86.7,1.8,0.21,0.01,0.03
3663,5177,Midfielder,28,180,99,53.1,0.01,0.01,0.3,87.1,0.5,0.12,0.0,0.01
1698,2466,Goalkeeper,30,185,374,90.53,0.0,0.0,0.0,54.4,0.3,0.05,0.0,0.05
1106,1635,Forward,24,190,223,67.97,0.44,0.08,2.7,69.5,1.5,0.09,0.01,0.12
3675,5200,Midfielder,22,175,74,62.2,0.15,0.14,1.4,76.5,0.2,0.12,0.0,0.04
171,243,Midfielder,24,180,58,56.02,0.26,0.05,1.6,74.1,0.3,0.07,0.02,0.02
1491,2195,Midfielder,26,170,79,72.39,0.1,0.11,1.3,81.9,0.5,0.16,0.0,0.01
2760,3959,Midfielder,24,185,127,72.11,0.04,0.05,1.0,84.4,0.9,0.18,0.01,0.06
3674,5199,Goalkeeper,31,191,277,89.78,0.0,0.0,0.0,75.4,0.3,0.05,0.0,0.04
1324,1961,Defender,29,186,160,85.02,0.04,0.01,0.4,85.1,2.2,0.18,0.01,0.02
930,1368,Defender,27,190,175,84.7,0.03,0.02,0.2,90.2,2.3,0.1,0.01,0.03
2274,3291,Midfielder,29,176,151,68.3,0.12,0.19,1.2,77.1,0.1,0.03,0.0,0.03
2365,3413,Midfielder,24,185,104,55.91,0.02,0.01,0.4,87.8,0.6,0.16,0.0,0.0
13,21,Defender,29,184,224,78.57,0.06,0.02,0.6,84.2,1.6,0.2,0.03,0.04
756,1102,Forward,41,183,188,45.97,0.17,0.04,1.5,68.5,2.1,0.18,0.01,0.04
535,784,Midfielder,28,178,244,59.99,0.07,0.12,1.0,84.4,0.4,0.11,0.01,0.02
1838,2695,Forward,33,180,227,71.73,0.27,0.11,2.1,58.3,5.3,0.14,0.0,0.11
2082,3028,Defender,28,185,92,81.75,0.0,0.0,0.3,77.8,1.4,0.21,0.0,0.03
3288,4669,Forward,24,169,130,46.3,0.21,0.07,1.0,80.2,0.2,0.1,0.0,0.02
1246,1839,Midfielder,23,176,52,60.35,0.15,0.21,1.3,77.8,0.2,0.17,0.0,0.17
3601,5095,Midfielder,32,172,238,69.43,0.03,0.06,0.4,85.0,0.6,0.18,0.0,0.01
3572,5048,Midfielder,31,176,275,77.07,0.05,0.15,0.7,81.8,0.4,0.14,0.0,0.04
1245,1838,Defender,36,183,425,85.61,0.05,0.02,0.7,88.5,2.8,0.25,0.01,0.06
1499,2203,Midfielder,30,178,165,61.05,0.07,0.1,1.2,69.1,0.6,0.17,0.01,0.03
323,461,Forward,34,189,348,64.6,0.42,0.07,3.5,72.8,0.8,0.33,0.04,0.1
1583,2306,Defender,29,183,206,79.17,0.02,0.01,0.4,83.6,1.7,0.15,0.0,0.02
2895,4148,Forward,28,182,156,58.04,0.31,0.04,1.7,66.1,2.7,0.08,0.01,0.03
486,708,Midfielder,22,181,132,62.33,0.11,0.14,1.5,79.3,0.4,0.1,0.01,0.07
648,945,Midfielder,23,183,80,66.9,0.02,0.05,0.7,78.6,1.7,0.22,0.01,0.02
3579,5058,Midfielder,29,165,101,62.0,0.11,0.03,1.2,86.2,0.4,0.08,0.0,0.0
1795,2627,Goalkeeper,24,191,70,89.86,0.0,0.01,0.0,60.4,0.3,0.01,0.0,0.07
956,1412,Midfielder,25,183,105,70.97,0.04,0.06,0.8,88.5,0.9,0.15,0.01,0.02
2428,3509,Defender,27,188,215,85.21,0.03,0.02,0.4,74.7,4.3,0.11,0.0,0.02
1762,2573,Midfielder,22,176,105,49.18,0.1,0.05,0.9,74.6,0.4,0.04,0.02,0.03
1344,1997,Defender,25,191,131,85.92,0.03,0.02,0.5,79.5,2.7,0.18,0.01,0.04
3290,4672,Midfielder,33,174,232,56.5,0.01,0.04,0.6,86.5,0.7,0.12,0.0,0.01
1335,1979,Midfielder,23,185,126,53.75,0.1,0.11,1.1,91.2,0.4,0.07,0.01,0.04
2216,3209,Midfielder,27,176,123,70.85,0.18,0.11,1.1,80.8,0.2,0.11,0.0,0.05
2111,3069,Midfielder,29,170,345,72.3,0.1,0.1,1.1,79.1,0.9,0.13,0.01,0.03
2651,3813,Midfielder,30,178,134,65.08,0.16,0.16,1.1,76.2,0.8,0.14,0.01,0.01
3831,5403,Defender,30,182,61,88.89,0.03,0.0,0.4,89.0,2.7,0.21,0.03,0.03
969,1435,Midfielder,22,177,92,50.29,0.09,0.02,1.5,74.8,0.5,0.09,0.02,0.04
36,51,Midfielder,27,181,285,80.44,0.06,0.08,0.9,78.7,1.4,0.13,0.0,0.01
676,992,Midfielder,23,188,60,63.03,0.02,0.02,0.6,77.9,1.9,0.22,0.02,0.07
2278,3297,Midfielder,37,176,313,81.85,0.05,0.09,0.6,85.4,1.1,0.15,0.01,0.03
